               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1       87,0.921     ,-1.39     ,-0.99     ,0.1151    ,          ,          ,          ,          ,  -7329690
 DSO 2       81,          ,          ,          ,          ,0.329     ,0.111     ,0.587     ,0.0187    ,  -7327072
 DSO 1       88,0.778     ,-3.17     ,1.79      ,0.0615    ,          ,          ,          ,          ,  -7319690
 DSO 2       82,          ,          ,          ,          ,0.587     ,0.726     ,0.845     ,0.0163    ,  -7317072
 DSO 1       89,0.667     ,3.97      ,1.59      ,0.1270    ,          ,          ,          ,          ,  -7309690
 DSO 2       83,          ,          ,          ,          ,0.766     ,0.528     ,0.587     ,0.0222    ,  -7307072
 DSO 1       90,0.857     ,0.60      ,2.78      ,0.0873    ,          ,          ,          ,          ,  -7299690
 DSO 2       84,          ,          ,          ,          ,0.508     ,0.270     ,0.726     ,0.0230    ,  -7297072
 DSO 1       91,0.794     ,-2.58     ,1.19      ,0.0476    ,          ,          ,          ,          ,  -7289690
 DSO 2       85,          ,          ,          ,          ,0.706     ,0.528     ,0.567     ,0.0222    ,  -7287072
 DSO 1       92,0.714     ,-3.77     ,0.99      ,0.0456    ,          ,          ,          ,          ,  -7279690
 DSO 2       86,          ,          ,          ,          ,0.310     ,-0.008    ,0.210     ,0.0139    ,  -7277072
 DSO 1       93,0.635     ,-0.60     ,-1.19     ,0.0655    ,          ,          ,          ,          ,  -7269690
 DSO 2       87,          ,          ,          ,          ,0.349     ,0.230     ,0.151     ,0.0115    ,  -7267072
 DSO 1       94,0.857     ,-0.20     ,4.56      ,0.0595    ,          ,          ,          ,          ,  -7259690
 DSO 2       88,          ,          ,          ,          ,0.171     ,0.012     ,0.508     ,0.0175    ,  -7257072
 DSO 1       95,0.571     ,0.20      ,1.19      ,0.1012    ,          ,          ,          ,          ,  -7249690
 DSO 2       89,          ,          ,          ,          ,0.329     ,0.052     ,0.587     ,0.0103    ,  -7247072
 DSO 1       96,1.000     ,0.60      ,-0.20     ,0.0516    ,          ,          ,          ,          ,  -7239690
 DSO 2       90,          ,          ,          ,          ,0.905     ,0.786     ,0.567     ,0.0183    ,  -7237072
 DSO 1       97,0.937     ,0.99      ,4.17      ,0.0714    ,          ,          ,          ,          ,  -7229690
 DSO 2       91,          ,          ,          ,          ,0.984     ,0.647     ,0.885     ,0.0226    ,  -7227072
 DSO 1       98,0.714     ,0.60      ,3.77      ,0.0813    ,          ,          ,          ,          ,  -7219690
 DSO 2       92,          ,          ,          ,          ,0.726     ,0.329     ,0.865     ,0.0171    ,  -7217072
 DSO 1       99,0.841     ,0.99      ,2.38      ,0.0853    ,          ,          ,          ,          ,  -7209690
 DSO 2       93,          ,          ,          ,          ,0.885     ,0.627     ,0.984     ,0.0187    ,  -7207072
 DSO 1      100,0.794     ,-2.78     ,4.37      ,0.0317    ,          ,          ,          ,          ,  -7199690
 DSO 2       94,          ,          ,          ,          ,0.032     ,-0.147    ,0.488     ,0.0171    ,  -7197072
 DSO 1      101,0.683     ,-1.39     ,4.96      ,0.0317    ,          ,          ,          ,          ,  -7189690
 DSO 2       95,          ,          ,          ,          ,0.409     ,0.151     ,0.071     ,0.0147    ,  -7187072
 DSO 1      102,0.810     ,-0.99     ,2.78      ,0.0675    ,          ,          ,          ,          ,  -7179690
 DSO 2       96,          ,          ,          ,          ,0.528     ,0.190     ,0.786     ,0.0119    ,  -7177072
 DSO 1      103,0.810     ,-0.40     ,3.17      ,0.0238    ,          ,          ,          ,          ,  -7169690
 DSO 2       97,          ,          ,          ,          ,0.310     ,0.250     ,0.349     ,0.0163    ,  -7167072
 DSO 1      104,0.889     ,0.99      ,2.18      ,0.0853    ,          ,          ,          ,          ,  -7159690
 DSO 2       98,          ,          ,          ,          ,0.865     ,0.567     ,0.607     ,0.0230    ,  -7157072
 DSO 1      105,0.683     ,1.59      ,4.17      ,0.0913    ,          ,          ,          ,          ,  -7149690
 DSO 2       99,          ,          ,          ,          ,0.825     ,0.369     ,0.706     ,0.0222    ,  -7147072
 DSO 1      106,1.079     ,3.37      ,5.36      ,0.0972    ,          ,          ,          ,          ,  -7139690
 DSO 2      100,          ,          ,          ,          ,0.369     ,0.468     ,0.905     ,0.0202    ,  -7137072
