               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,,
 DSO 1      100,8.25E-01,3.97E-01,4.762,3.57E-02,          ,          ,          ,          ,1000000,
 DSO 2       95,          ,          ,          ,          ,1.51E-01,1.31E-01,1.71E-01,1.39E-02,1008088,
 DSO 1      101,5.56E-01,3.97E-01,1.587,6.43E-02,          ,          ,          ,          ,1010000,
 DSO 2       96,          ,          ,          ,          ,2.30E-01,1.11E-01,2.70E-01,4.76E-03,1018088,
 DSO 1      102,1.016,1.19,-1.98E-01,3.33E-02,          ,          ,          ,          ,1020000,
 DSO 2       97,          ,          ,          ,          ,3.89E-01,1.71E-01,1.51E-01,1.55E-02,1028088,
 DSO 1      103,9.37E-01,1.587,4.563,4.41E-02,          ,          ,          ,          ,1030000,
 DSO 2       98,          ,          ,          ,          ,3.10E-01,2.90E-01,4.88E-01,7.54E-03,1038088,
 DSO 1      104,7.14E-01,7.94E-01,3.77,5.12E-02,          ,          ,          ,          ,1040000,
 DSO 2       99,          ,          ,          ,          ,5.87E-01,4.09E-01,3.29E-01,1.63E-02,1048088,
 DSO 1      105,8.25E-01,1.389,2.183,5.24E-02,          ,          ,          ,          ,1050000,
 DSO 2      100,          ,          ,          ,          ,3.49E-01,3.18E-02,2.70E-01,1.79E-02,1058088,
 DSO 1      106,7.94E-01,-2.183,4.365,2.02E-02,          ,          ,          ,          ,1060000,
 DSO 2      101,          ,          ,          ,          ,4.88E-01,1.91E-01,2.30E-01,1.67E-02,1068088,
 DSO 1      107,6.67E-01,-9.92E-01,4.96,1.91E-02,          ,          ,          ,          ,1070000,
 DSO 2      102,          ,          ,          ,          ,2.70E-01,2.90E-01,6.67E-01,1.55E-02,1078088,
 DSO 1      108,8.25E-01,-7.94E-01,2.976,4.17E-02,          ,          ,          ,          ,1080000,
 DSO 2      103,          ,          ,          ,          ,2.30E-01,7.14E-02,3.49E-01,9.52E-03,1088088,
 DSO 1      109,8.10E-01,-5.95E-01,3.373,1.67E-02,          ,          ,          ,          ,1090000,
 DSO 2      104,          ,          ,          ,          ,4.29E-01,2.30E-01,2.70E-01,1.39E-02,1098088,
 DSO 1      110,8.57E-01,1.389,2.183,5.24E-02,          ,          ,          ,          ,1100000,
 DSO 2      105,          ,          ,          ,          ,4.88E-01,3.69E-01,2.50E-01,1.63E-02,1108088,
 DSO 1      111,6.67E-01,1.786,3.968,5.71E-02,          ,          ,          ,          ,1110000,
 DSO 2      106,          ,          ,          ,          ,5.08E-01,4.68E-01,4.48E-01,1.27E-02,1118088,
 DSO 1      112,1.079,3.571,5.754,6.19E-02,          ,          ,          ,          ,1120000,
 DSO 2      107,          ,          ,          ,          ,4.88E-01,1.11E-01,4.88E-01,9.52E-03,1128088,
 DSO 1      113,8.10E-01,2.183,2.778,4.52E-02,          ,          ,          ,          ,1130000,
 DSO 2      108,          ,          ,          ,          ,6.67E-01,7.14E-02,2.50E-01,1.07E-02,1138088,
 DSO 1      114,8.25E-01,-2.976,2.778,3.10E-02,          ,          ,          ,          ,1140000,
