				Integrated Y1	Integrated Y2							
				Integrate of B x=(0,7490) Area = -5.63888e+06	Integrate of C x=(0,7490) Area = -397100							
820	-3968	-198.4	21.43	-1054553	119034	-3065.04382888717	-109421.791840109	644.434434434446	94.330322322324	1124.21033848773	64.4806952791456	106356.748011222
825		--		--	--	--	--	-661.061061061043	12.7432472472468	1125.89688634999	45.0051151848944	--
830	992.1	-3571	48.81	-1069432.5	100187	-5374.83786046365	-130520.728042685	-3041.51651651651	67.1870750750749	1127.58343421225	25.5295350906427	125145.890182221
835		--		--	--	--	--	-2753.20620620621	18.849097097097	1129.26998207451	6.05395499639153	--
840	-1984	-595.2	28.57	-1074392	79356	2235.36810796009	-153603.664245261	-3123.83183183184	37.3752232232237	1130.76136398866	8.68479148158919	155839.032353221
845		--		--	--	--	--	-2988.8288288288	66.5145225225218	1132.10379641874	28.187112852902	--
850	-4563	992.1	39.29	-1107127	81340.5	-17929.9259236164	-153871.100447837	-162.272272272311	1.36426826826916	1133.44622884883	47.6894342242144	135941.174524221
855		--		--	--	--	--	701.123723723717	22.0166886886885	1134.78866127891	67.1917555955272	--
860	-2183	1587	15.48	-1140857	94236	-39090.2199551927	-143227.536650413	-275.981681681673	16.3849489489491	1136.131093709	86.6940769668395	104137.31669522
865		--		--	--	--	--	-1458.62702702703	52.6142462462464	1137.47352613908	106.196398338152	--
870	-2183	2778	29.76	-1162687	116061	-48350.5139867691	-123654.472852989	-268.324324324318	252.554510510512	1138.81595856917	125.698719709465	75303.9588662197
875		--		--	--	--	--	1761.62702702705	209.678378378378	1140.15839099926	140.598958919223	--
880	-1786	2976	14.29	-1182532	144831	-55625.8080183454	-97136.4090555647	590.936936936986	166.85995995996	1141.50082342934	121.09663754791	41510.6010372193
885		--		--	--	--	--	-1663.6976976977	113.08860860861	1142.84325585943	101.594316176597	--
890	0	1389	29.76	-1191462	166656	-51986.1020499219	-77563.3452581407	-1216.84684684685	4.16796396396453	1144.18568828951	82.0919948052845	25577.2432082188
895		--		--	--	--	--	-3846.73673673674	-2.376	1145.5281207196	62.5896734339722	--
900	-1190	-793.7	27.38	-1197412	169632.5	-45366.3960814981	-76838.7814607166	-1894.25025025023	-2.376	1146.87055314968	43.0873520626593	31472.3853792185
905		--		--	--	--	--	1583.36816816816	35.5398198198211	1148.21298557977	23.5850306913465	--
910	-3373	-1389	34.52	-1220227	158719	-55611.6901130746	-90004.2176632926	839.391491491481	174.750354354356	1149.55541800985	4.08270932003416	34392.5275502179
915		--		--	--	--	--	-183.674074074062	117.982222222223	1150.48993139273	10.6892944087449	--
920	4167	-1786	27.38	-1216257	142844	-39071.9841446509	-108131.153865868	-864.914114114111	55.3917717717722	1151.22245850511	30.2240344307909	69059.1697212176
925		--		--	--	--	--	-786.905805805808	9.95522722722725	1151.95498561748	49.7587744528373	--
930	-3571	-198.4	48.81	-1213277	132922	-23522.2781762274	-120305.090068444	700.372772772778	-1.64789989989994	1152.68751272986	69.2935144748837	96782.811892217
935		--		--	--	--	--	-182.283783783792	-2.376	1153.42003984224	88.8282544969296	--
940	-3571	3373	27.38	-1248987	148795	-46662.5722078036	-106684.02627102	-1762.43683683686	-2.376	1154.15256695462	108.362994518976	60021.4540632167
945		--		--	--	--	--	-3616.20520520519	29.4053333333319	1154.885094067	127.897734541022	--
950	3968	1786	40.48	-1247002	174590	-32107.8662393801	-83140.9624735963	-5252.15915915915	147.247999999999	1155.61762117937	147.432474563068	51033.0962342162
955		--		--	--	--	--	-1876.41921921923	80.4266366366369	1156.35014829175	166.967214585115	--
960	-1587	3770	14.29	-1235097	202370	-7633.16027095635	-57612.8986761722	-754.891291291293	52.5705905905906	1157.08267540413	186.501954607161	49979.7384052159
965		--		--	--	--	--	-1469.46846846848	45.165309309309	1157.81520251651	206.036694629207	--
970	-2976	793.7	22.62	-1257912	225188.5	-17878.4543025328	-37046.3348787481	-2510.87087087088	0.54320320320268	1158.54772962889	225.571434651253	19167.8805762153
975		--		--	--	--	--	-632.873873873902	9.30187787787771	1159.28025674126	245.1061746733	--
980	-2778	-2381	46.43	-1286682	217252	-34078.7483341091	-47234.771081324	-516.645045045035	23.9386486486485	1160.02551402444	263.959801100864	13156.0227472149
985		--		--	--	--	--	-1389	48.8211111111109	1161.487492171	244.466076890281	--
990	0	-396.8	208.3	-1300572	203363	-35399.0423656856	-63375.7072839	-1389	97.9222222222223	1162.94947031756	224.972352679697	27976.6649182144
995		--		--	--	--	--	-1111.28918918919	62.8774474474472	1164.41144846412	205.478628469114	--
1000	1190	1587	-2.376	-1294622	209314	-16879.3363972618	-59676.6434864759	-2864.91091091094	53.3829829829831	1165.87342661068	185.98490425853	42797.3070892141
1005		--		--	--	--	--	-4210.37357357363	49.096272272273	1167.33540475724	166.491180047947	--
1010	2976	-3571	-2.376	-1273792	199394	16520.3695711617	-71848.5796890519	-639.915315315351	0.905357357357843	1168.7973829038	146.997455837364	88368.9492602135
1015		--		--	--	--	--	-1090.04884884885	5.10636436436433	1170.25936105035	127.50373162678	--
1020	-3770	4762	-2.376	-1277762	205349	25120.0755395854	-68145.5158916278	-410.171571571572	3.53056556556557	1171.72133919691	108.010007416197	93265.5914312132
1025		--		--	--	--	--	7.11081081079704	14.1390630630634	1173.18331734347	88.5162832056131	--
