               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Timestamp
 DSO 2       65,          ,          ,          ,          ,6.67E-01,2.70E-01,6.07E-01,2.86E-02,701692
 DSO 1       71,7.62E-01,-7.94E-01,9.92E-01,3.33E-02,          ,          ,          ,          ,710000
 DSO 2       66,          ,          ,          ,          ,7.26E-01,4.09E-01,6.47E-01,1.63E-02,711692
 DSO 1       72,9.84E-01,5.95E-01,-1.786,3.21E-02,          ,          ,          ,          ,720000
 DSO 2       67,          ,          ,          ,          ,6.87E-01,7.06E-01,6.27E-01,2.18E-02,721692
 DSO 1       73,3.81E-01,-4.563,4.167,3.21E-02,          ,          ,          ,          ,730000
 DSO 2       68,          ,          ,          ,          ,4.48E-01,9.13E-02,1.91E-01,1.87E-02,731692
 DSO 1       74,4.44E-01,9.92E-01,1.587,2.86E-02,          ,          ,          ,          ,740000
 DSO 2       69,          ,          ,          ,          ,1.71E-01,7.14E-02,4.29E-01,1.55E-02,741692
 DSO 1       75,4.44E-01,2.183,4.563,2.74E-02,          ,          ,          ,          ,750000
 DSO 2       70,          ,          ,          ,          ,2.70E-01,4.68E-01,4.88E-01,2.26E-02,751692
 DSO 1       76,6.67E-01,-4.365,3.571,1.43E-02,          ,          ,          ,          ,760000
 DSO 2       71,          ,          ,          ,          ,3.29E-01,5.16E-02,5.87E-01,1.71E-02,761692
 DSO 1       77,5.40E-01,-2.183,-3.97E-01,3.10E-02,          ,          ,          ,          ,770000
 DSO 2       72,          ,          ,          ,          ,5.48E-01,6.87E-01,8.25E-01,1.59E-02,771692
 DSO 1       78,6.83E-01,3.373,-2.976,3.69E-02,          ,          ,          ,          ,780000
 DSO 2       73,          ,          ,          ,          ,7.26E-01,4.88E-01,5.68E-01,2.10E-02,781692
 DSO 1       79,6.83E-01,-1.389,-5.95E-01,5.24E-02,          ,          ,          ,          ,790000
 DSO 2       74,          ,          ,          ,          ,4.68E-01,2.10E-01,7.26E-01,2.22E-02,791692
 DSO 1       80,5.87E-01,1.98E-01,1.389,3.57E-02,          ,          ,          ,          ,800000
 DSO 2       75,          ,          ,          ,          ,7.06E-01,4.88E-01,5.68E-01,2.02E-02,801692
 DSO 1       81,5.56E-01,-2.381,1.587,2.86E-02,          ,          ,          ,          ,810000
 DSO 2       76,          ,          ,          ,          ,2.70E-01,-1.07E-01,1.91E-01,1.27E-02,811692
 DSO 1       82,6.98E-01,-3.373,1.587,1.79E-02,          ,          ,          ,          ,820000
 DSO 2       77,          ,          ,          ,          ,2.90E-01,1.91E-01,1.71E-01,1.03E-02,821692
 DSO 1       83,4.44E-01,-2.778,3.373,2.98E-02,          ,          ,          ,          ,830000
 DSO 2       78,          ,          ,          ,          ,1.51E-01,3.18E-02,4.88E-01,1.55E-02,831692
 DSO 1       84,5.87E-01,0,1.786,2.74E-02,          ,          ,          ,          ,840000
